seed,run_dir,tick,total_count,ancestry_count,ancestry_fraction,family_species_count
202608320,experiments/stringmol/runs/global-positive-control/mixed/seed_202608320,0,150,10,0.06666666666666667,169
202608320,experiments/stringmol/runs/global-positive-control/mixed/seed_202608320,100,144,9,0.0625,169
202608320,experiments/stringmol/runs/global-positive-control/mixed/seed_202608320,200,149,18,0.12080536912751678,169
202608320,experiments/stringmol/runs/global-positive-control/mixed/seed_202608320,300,186,17,0.0913978494623656,169
202608320,experiments/stringmol/runs/global-positive-control/mixed/seed_202608320,400,181,22,0.12154696132596685,169
202608320,experiments/stringmol/runs/global-positive-control/mixed/seed_202608320,500,247,30,0.1214574898785425,169
202608320,experiments/stringmol/runs/global-positive-control/mixed/seed_202608320,600,253,43,0.16996047430830039,169
202608320,experiments/stringmol/runs/global-positive-control/mixed/seed_202608320,700,337,50,0.14836795252225518,169
202608320,experiments/stringmol/runs/global-positive-control/mixed/seed_202608320,800,327,60,0.1834862385321101,169
202608320,experiments/stringmol/runs/global-positive-control/mixed/seed_202608320,900,350,84,0.24,169
202608320,experiments/stringmol/runs/global-positive-control/mixed/seed_202608320,1000,442,88,0.19909502262443438,169
202608320,experiments/stringmol/runs/global-positive-control/mixed/seed_202608320,1100,439,104,0.23690205011389523,169
202608320,experiments/stringmol/runs/global-positive-control/mixed/seed_202608320,1200,573,138,0.24083769633507854,169
202608320,experiments/stringmol/runs/global-positive-control/mixed/seed_202608320,1300,565,161,0.2849557522123894,169
202608320,experiments/stringmol/runs/global-positive-control/mixed/seed_202608320,1400,732,209,0.2855191256830601,169
202608320,experiments/stringmol/runs/global-positive-control/mixed/seed_202608320,1500,731,235,0.32147742818057456,169
202608320,experiments/stringmol/runs/global-positive-control/mixed/seed_202608320,1600,845,359,0.42485207100591715,169
202608320,experiments/stringmol/runs/global-positive-control/mixed/seed_202608320,1700,990,407,0.4111111111111111,169
202608320,experiments/stringmol/runs/global-positive-control/mixed/seed_202608320,1800,1057,487,0.4607379375591296,169
202608320,experiments/stringmol/runs/global-positive-control/mixed/seed_202608320,1900,1316,627,0.4764437689969605,169
202608320,experiments/stringmol/runs/global-positive-control/mixed/seed_202608320,2000,1599,928,0.5803627267041901,169
202608320,experiments/stringmol/runs/global-positive-control/mixed/seed_202608320,2100,1600,972,0.6075,169
202608320,experiments/stringmol/runs/global-positive-control/mixed/seed_202608320,2200,1600,1034,0.64625,169
202608320,experiments/stringmol/runs/global-positive-control/mixed/seed_202608320,2300,1600,1082,0.67625,169
202608320,experiments/stringmol/runs/global-positive-control/mixed/seed_202608320,2400,1600,1141,0.713125,169
202608320,experiments/stringmol/runs/global-positive-control/mixed/seed_202608320,2500,1600,1174,0.73375,169
202608320,experiments/stringmol/runs/global-positive-control/mixed/seed_202608320,2600,1600,1205,0.753125,169
202608320,experiments/stringmol/runs/global-positive-control/mixed/seed_202608320,2700,1600,1229,0.768125,169
202608320,experiments/stringmol/runs/global-positive-control/mixed/seed_202608320,2800,1600,1254,0.78375,169
202608320,experiments/stringmol/runs/global-positive-control/mixed/seed_202608320,2900,1600,1273,0.795625,169
202608320,experiments/stringmol/runs/global-positive-control/mixed/seed_202608320,3000,1599,1289,0.8061288305190745,169
202608320,experiments/stringmol/runs/global-positive-control/mixed/seed_202608320,3100,1600,1304,0.815,169
202608320,experiments/stringmol/runs/global-positive-control/mixed/seed_202608320,3200,1599,1327,0.8298936835522202,169
202608320,experiments/stringmol/runs/global-positive-control/mixed/seed_202608320,3300,1600,1340,0.8375,169
202608320,experiments/stringmol/runs/global-positive-control/mixed/seed_202608320,3400,1600,1369,0.855625,169
202608320,experiments/stringmol/runs/global-positive-control/mixed/seed_202608320,3500,1599,1388,0.868042526579112,169
202608320,experiments/stringmol/runs/global-positive-control/mixed/seed_202608320,3600,1598,1406,0.8798498122653317,169
202608320,experiments/stringmol/runs/global-positive-control/mixed/seed_202608320,3700,1600,1418,0.88625,169
202608320,experiments/stringmol/runs/global-positive-control/mixed/seed_202608320,3800,1600,1431,0.894375,169
202608320,experiments/stringmol/runs/global-positive-control/mixed/seed_202608320,3900,1600,1443,0.901875,169
202608320,experiments/stringmol/runs/global-positive-control/mixed/seed_202608320,4000,1600,1450,0.90625,169
202608320,experiments/stringmol/runs/global-positive-control/mixed/seed_202608320,4100,1600,1458,0.91125,169
202608320,experiments/stringmol/runs/global-positive-control/mixed/seed_202608320,4200,1600,1464,0.915,169
202608320,experiments/stringmol/runs/global-positive-control/mixed/seed_202608320,4300,1600,1471,0.919375,169
202608320,experiments/stringmol/runs/global-positive-control/mixed/seed_202608320,4400,1600,1475,0.921875,169
202608320,experiments/stringmol/runs/global-positive-control/mixed/seed_202608320,4500,1600,1482,0.92625,169
202608320,experiments/stringmol/runs/global-positive-control/mixed/seed_202608320,4600,1599,1486,0.9293308317698562,169
202608320,experiments/stringmol/runs/global-positive-control/mixed/seed_202608320,4700,1600,1493,0.933125,169
202608320,experiments/stringmol/runs/global-positive-control/mixed/seed_202608320,4800,1600,1496,0.935,169
202608320,experiments/stringmol/runs/global-positive-control/mixed/seed_202608320,4900,1600,1503,0.939375,169
202608320,experiments/stringmol/runs/global-positive-control/mixed/seed_202608320,5000,1598,1505,0.94180225281602,169
202608320,experiments/stringmol/runs/global-positive-control/mixed/seed_202608320,5100,1599,1513,0.9462163852407754,169
